epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,2251.01,0.59713,0.90793,1.21861,0.83743,0.80062,0.8724,0.76891,0.71247,0.85646,0.84942,1.39469,0.0087031,0.0087031,0.0087031
133,2267.97,0.59735,0.92332,1.21136,0.82193,0.82943,0.89609,0.78064,0.74113,0.88043,0.81596,1.41937,0.0086932,0.0086932,0.0086932
134,2284.9,0.60095,0.91873,1.228,0.7641,0.79899,0.85038,0.75742,0.70383,0.83757,0.96418,1.37702,0.0086833,0.0086833,0.0086833
135,2301.9,0.62095,0.89572,1.23923,0.87678,0.71271,0.84607,0.74694,0.7067,0.82881,0.84507,1.37335,0.0086734,0.0086734,0.0086734
136,2318.69,0.56852,0.88271,1.19507,0.77375,0.77493,0.83345,0.71935,0.6874,0.83057,0.93331,1.39026,0.0086635,0.0086635,0.0086635
137,2335.57,0.57808,0.89992,1.20283,0.78341,0.81078,0.8416,0.73305,0.69342,0.85278,0.85637,1.39876,0.0086536,0.0086536,0.0086536
138,2352.25,0.59314,0.90789,1.21413,0.8055,0.79911,0.8743,0.7813,0.73582,0.77932,0.8354,1.31579,0.0086437,0.0086437,0.0086437
139,2369.06,0.58675,0.89996,1.19977,0.74563,0.82881,0.84701,0.73747,0.68374,0.84897,0.88982,1.37921,0.0086338,0.0086338,0.0086338
140,2385.98,0.59901,0.91671,1.21693,0.8314,0.81211,0.87395,0.7782,0.73071,0.80177,0.86046,1.34856,0.0086239,0.0086239,0.0086239
141,2403.05,0.58309,0.86786,1.21746,0.78847,0.74977,0.85231,0.75495,0.71613,0.82404,0.98168,1.35114,0.008614,0.008614,0.008614
142,2419.78,0.60037,0.87704,1.2125,0.71936,0.78788,0.79227,0.69934,0.65343,0.83441,1.03361,1.38101,0.0086041,0.0086041,0.0086041
143,2436.64,0.58897,0.88724,1.21744,0.82494,0.78214,0.85326,0.7531,0.70708,0.85014,0.85533,1.40117,0.0085942,0.0085942,0.0085942
144,2453.8,0.57648,0.87813,1.20633,0.65616,0.842,0.8089,0.71658,0.67367,0.82771,0.98094,1.36531,0.0085843,0.0085843,0.0085843
145,2470.84,0.57938,0.87763,1.21405,0.79664,0.78596,0.83378,0.7535,0.69336,0.82761,0.8757,1.35986,0.0085744,0.0085744,0.0085744
146,2487.65,0.58184,0.87796,1.21318,0.83197,0.7445,0.82195,0.71689,0.67574,0.82956,0.85359,1.38025,0.0085645,0.0085645,0.0085645
147,2504.53,0.56391,0.83052,1.18176,0.81684,0.71989,0.84543,0.75542,0.70283,0.83831,0.91152,1.40459,0.0085546,0.0085546,0.0085546
148,2521.57,0.5634,0.8385,1.19221,0.81172,0.74366,0.81397,0.72691,0.6783,0.81145,0.96385,1.35616,0.0085447,0.0085447,0.0085447
149,2538.5,0.58792,0.87779,1.20934,0.80643,0.77936,0.8627,0.77403,0.72873,0.79954,0.8818,1.33326,0.0085348,0.0085348,0.0085348
150,2555.72,0.56148,0.84459,1.19465,0.84344,0.79036,0.84936,0.74744,0.70628,0.81749,0.87886,1.37079,0.0085249,0.0085249,0.0085249
151,2573.15,0.5736,0.84053,1.20257,0.74728,0.81664,0.82294,0.74248,0.68388,0.81697,0.9032,1.36148,0.008515,0.008515,0.008515
152,2590.37,0.57399,0.85126,1.20484,0.76831,0.78115,0.82047,0.73699,0.68673,0.81591,0.84647,1.36998,0.0085051,0.0085051,0.0085051
153,2607.58,0.58311,0.8346,1.20548,0.75919,0.80672,0.84369,0.7368,0.69838,0.8072,0.8366,1.33296,0.0084952,0.0084952,0.0084952
154,2625.25,0.57412,0.84018,1.19532,0.80674,0.7942,0.82809,0.71634,0.67116,0.88231,0.8752,1.43378,0.0084853,0.0084853,0.0084853
155,2642.27,0.58396,0.87298,1.19789,0.82097,0.80216,0.83297,0.75009,0.69715,0.80054,0.89613,1.33489,0.0084754,0.0084754,0.0084754
156,2659.31,0.56473,0.81733,1.19569,0.85228,0.79391,0.87561,0.79722,0.74642,0.77376,0.79352,1.30814,0.0084655,0.0084655,0.0084655
157,2676.03,0.55572,0.83072,1.17983,0.77537,0.80793,0.79864,0.68934,0.65271,0.83642,0.89735,1.41137,0.0084556,0.0084556,0.0084556
158,2693.3,0.56958,0.8152,1.19217,0.81491,0.76955,0.87525,0.78842,0.73986,0.78289,0.8277,1.3291,0.0084457,0.0084457,0.0084457
159,2710.15,0.5755,0.85293,1.18983,0.81533,0.83369,0.8593,0.71472,0.69149,0.88149,0.91003,1.41916,0.0084358,0.0084358,0.0084358
160,2727.27,0.57356,0.8621,1.19914,0.7797,0.79275,0.83339,0.74218,0.69362,0.8014,0.81739,1.3525,0.0084259,0.0084259,0.0084259
161,2744.33,0.58106,0.82704,1.19097,0.80547,0.75078,0.8179,0.7404,0.69549,0.77636,0.82087,1.31116,0.008416,0.008416,0.008416
162,2761.69,0.5637,0.80847,1.18133,0.77898,0.79043,0.86721,0.78893,0.73241,0.79245,0.92621,1.33116,0.0084061,0.0084061,0.0084061
163,2778.84,0.56004,0.82753,1.18754,0.76905,0.81715,0.84824,0.76458,0.71279,0.83017,0.81371,1.35073,0.0083962,0.0083962,0.0083962
164,2795.95,0.56417,0.85323,1.18378,0.91082,0.75835,0.8785,0.79065,0.74152,0.78853,0.81432,1.30844,0.0083863,0.0083863,0.0083863
165,2813.13,0.56062,0.79324,1.17906,0.82043,0.80229,0.80772,0.72039,0.67137,0.81993,0.84556,1.35689,0.0083764,0.0083764,0.0083764
